seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
132,0.224326,595,0.221868,3593,45,1576,2001,339806191614,101906858813038,177816284157601,0,never,485,0,0.224326,4170529106536,31,27,29,11
133,0.205300,595,0.203073,4104,36,1526,2001,311901214927,93983486505743,168773285572437,0,never,485,0,0.205300,4047787929160,28,24,32,9
134,0.212666,595,0.210380,3678,47,1544,2001,317980729603,97911950750230,171216987658067,0,never,480,0,0.212666,4020182141789,26,22,34,15
135,0.195543,590,0.193454,4020,52,1532,2001,303515509015,89916574881021,160872340387161,0,never,480,0,0.195543,4001056430048,26,24,34,15
136,0.215810,590,0.213470,3896,56,1536,2001,331241220842,102555666972208,175505034114039,0,never,480,0,0.215810,4137459738092,24,20,36,14
137,0.214184,590,0.212002,3664,37,1557,2001,321700007502,97714719610924,175272639019320,0,never,485,0,0.214184,4150358959354,26,22,34,16
138,0.206576,595,0.204397,3880,48,1546,2001,363385998948,93115524050362,163393519481880,0,never,490,0,0.206576,3956372122228,32,23,28,7
139,0.200389,595,0.198250,3938,60,1538,2001,305223081342,93227578325229,170096164702347,0,never,485,0,0.200389,4034377737368,25,20,35,15
140,0.212716,595,0.210428,3768,55,1544,2001,295185236936,93650719121665,168415387937233,0,never,485,0,0.212716,4039343441994,27,23,33,13
141,0.211038,595,0.208765,3639,53,1519,2001,371967551862,101889860364956,178043608384244,0,never,485,0,0.211038,4139991274614,26,23,34,13
142,0.209361,590,0.207116,3773,51,1569,2001,345163982257,94111870307288,169981668086168,0,never,485,0,0.209361,4067526580274,23,18,37,14
143,0.195109,590,0.192979,3653,50,1547,2001,287688744774,88318070523123,157373570455113,0,never,480,0,0.195109,3970814410881,23,15,37,16
144,0.221011,590,0.218694,3691,56,1527,2001,349883156904,97990520188518,179769665622018,0,never,490,0,0.221011,4102797082184,25,19,35,16
145,0.214815,595,0.212457,3882,54,1542,2001,283349939740,94098209708650,168801185866729,0,never,485,0,0.214815,4025550448991,21,15,39,11
146,0.191490,595,0.189425,3681,41,1550,2001,281719604000,89405329165106,156554968845572,0,never,480,0,0.191490,4012499935058,25,23,35,14
147,0.218763,595,0.216412,3865,65,1504,2001,310296649348,94450828531884,159939203928496,0,never,485,0,0.218763,4011508321149,24,22,36,12
148,0.211542,595,0.209226,3673,56,1570,2001,308459253450,97005796160325,171765143768247,0,never,485,0,0.211542,4055968065409,23,15,37,13
149,0.214335,590,0.212046,3930,48,1550,2001,321890895844,94138335185342,164103918317718,0,never,480,0,0.214335,4027423329003,26,22,34,13
150,0.228332,590,0.225978,4049,54,1545,2001,315000278881,98795767903884,177577682558077,0,never,485,0,0.228332,4038702981285,22,18,38,23
151,0.202519,595,0.200329,3732,50,1541,2001,333268497776,96731114173390,181380384307643,0,never,485,0,0.202519,4218064061270,23,19,37,16
